clnt_NBR	merch_subctg	count(*) /review
100000001	4S店/汽车销售	4
100000001	东北菜	1
100000001	五星级酒店	3
100000001	体检中心	1
100000001	公寓式酒店	1
100000001	医院	1
100000001	咖啡厅	4
100000001	婚戒首饰	5
100000001	孕产护理	2
100000001	家政	2
100000001	家用电器	3
100000001	小吃快餐	1
100000001	录音棚	2
100000001	快照/冲印	2
100000001	数码产品	3
100000001	文化艺术	1
100000001	旅行社	3
100000001	日本菜	1
100000001	景点	2
100000001	本帮江浙菜	4
100000001	桌球馆	2
100000001	汽车租赁	1
100000001	汽车美容	2
100000001	洗车	2
100000001	清真菜	3
100000001	游乐游艺	1
100000001	游泳馆	5
100000001	湘菜	2
100000001	珠宝饰品	2
100000001	瑜伽	1
100000001	粤菜	1
100000001	素菜	1
100000001	纹身	1
100000001	网吧网咖	4
100000001	羽毛球馆	4
100000001	衣物/皮具洗护	1
100000001	西餐	1
100000001	豪华型	4
100000001	超市/便利店	2
100000001	足疗按摩	1
100000001	轰趴馆	3
100000001	运动户外	1
100000001	面包甜点	7
100000001	高档型	2
100000002	4S店/汽车销售	8
100000002	KTV	1
100000002	三星级酒店	1
100000002	东北菜	1
100000002	东南亚菜	1
100000002	中医养生	1
100000002	五星级酒店	1
100000002	体检中心	1
100000002	健身中心	1
100000002	公寓式酒店	1
100000002	升学辅导	1
100000002	咖啡厅	1
100000002	四星级酒店	3
100000002	婚戒首饰	1
100000002	婚纱礼服	1
100000002	孕产护理	1
100000002	家常菜	2
100000002	家政	1
100000002	家用电器	7
100000002	展馆展览	1
100000002	录音棚	1
100000002	手机维修	1
100000002	数码产品	3
100000002	文化艺术	1
100000002	旅行社	3
100000002	日本菜	1
100000002	景点	1
100000002	桌球馆	1
100000002	汽车美容	3
100000002	洗车	1
100000002	海鲜	1
100000002	清真菜	2
100000002	游乐游艺	4
100000002	游泳馆	2
100000002	火锅	1
100000002	珠宝饰品	3
100000002	素菜	2
100000002	网吧网咖	3
100000002	羽毛球馆	2
100000002	自助餐	1
100000002	舞蹈	1
100000002	蟹宴	2
100000002	衣物/皮具洗护	4
100000002	西餐	2
100000002	豪华型	2
100000002	超市/便利店	3
100000002	足疗按摩	1
100000002	面包甜点	9
100000002	高档型	3
100000003	KTV	1
100000003	三星级酒店	1
100000003	东北菜	1
100000003	东南亚菜	1
100000003	中医养生	1
100000003	五星级酒店	3
100000003	体育场馆	1
100000003	停车场	1
100000003	化妆品	1
100000003	医院	1
100000003	咖啡厅	2
100000003	四星级酒店	8
100000003	婚戒首饰	5
100000003	婚车租赁	1
100000003	家政	5
100000003	家用电器	4
100000003	小吃快餐	1
100000003	展馆展览	1
100000003	快照/冲印	1
100000003	数码产品	2
100000003	旅行社	3
100000003	本帮江浙菜	1
100000003	桌球馆	3
100000003	汽车租赁	1
100000003	汽车美容	7
100000003	洗车	2
100000003	游乐游艺	1
100000003	湘菜	1
100000003	火锅	1
100000003	珠宝饰品	1
